niewygodnym,inconvenient
niewygodną,inconvenient
niewykluczone,It is possible
niewykonalne,impossible
niewykonaniu,failure to perform
niewykorzystanej,unused
niewyobrażalnej,unimaginable
niewyobrażalnie,unimaginable
niewyobrażalną,unimaginable
niewyraźne,unclear
niewyraźnym,indistinct
niewątpliwie,undoubtedly
niewłaściwe,inappropriate
niewłaściwie,improperly
niewłaściwym,inappropriate
niezabezpieczonego,unsecured
niezachowanie,failure to behave
niezachwianego,unwavering
niezadawania,not asking
niezadowoleni,dissatisfied
niezadowolenie,dissatisfaction
niezaktualizowanych,not updated
niezale¿ne,independent
niezależne,independent
niezależnego,independent
niezależność,independence
niezależnych,independent
niezaniechanie,non-omission
niezapomniana,unforgettable
niezapomnianej,unforgettable
niezastąpione,irreplaceable
niezawodne,reliable
niezbadany,uncharted
niezbędna,necessary
niezbędnej,necessary
niezbędnych,necessary
niezdolności,inability
niezdolność,inability
niezgodności,inconsistency
niezgodność,incompatibility
niezidentyfikowany,unidentified
niezliczone,countless
niezmienione,unchanged
niezmienne,unchanging
niezmiennie,invariably
nieznaczną,insignificant
nieznani,unknown
nieznanych,unknown
niezniszczalną,indestructible
niezrozumiały,incomprehensible
niezrzeszonym,unaffiliated
niezrównany,unparalleled
niezwiązana,unrelated
niezwykłej,extraordinary
niezwłoczne,immediate
niezwłoczną,immediately
niezłożeniem,failure to submit
nieładu,disorder
nieśmiertelnym,immortal
nieświadomie,unconsciously
nieświadomością,unconsciousness
nieźle,not bad
nigdzie,nowhere
nigeryjskimi,Nigerian
nikim,nobody
nikłe,faintly
niskiej,low
niskimi,low
niskoemisyjnego,low emission
niskoemisyjnych,low-emission
niskokalorycznej,low calorie
niskokaloryczny,lean
niskokodowych,low code
niską,low
niszczeje,is decaying
niszczenia,destruction
niszczeniu,destruction
niszczono,They were destroying
niszczycielskich,destructive
niszczyło,it was destroying
niszczą,They destroy
niszowe,niche
nitki,threads
nitkę,a thread
niuanse,nuances
niuansów,nuances
niz,than
niże,lower
niżowy,lowland
niższej,lower
no,yeah
nobilis,nobleman
nobilitacja,ennoblement
nobli¶ci,Noblemen
noc.,night.
nocach,at night
nocie,note
noclegi,accommodation
noclegownia,a shelter
nocnej,night
nogach,legs
nogę,leg
noir,noir
nomen,nomen
nomenklatury,nomenclature
nominalnej,nominal
nominatów,nominees
nominowania,Nominations
nominowanym,nominated
nominowanymi,nominated
normalnej,normal
normalności,normality
normalność,normality
normalnych,Normal
normie,the norm
normą,standard
nosiciela,carrier
nostalgiczny,nostalgic
noszach,stretcher
noszenia,wearing
noszenie”,"""wearing"""
noszą,they wear
notarialnej,notarial
notariusz,notary
notariusza,notary
notatek,notes
notce,note
notki,notes
notowana,listed
notowania,quotes
notowany,listed
notowanymi,listed
notowaną,listed
notował,he was taking notes
notowała,she was taking notes
notuje,I am taking notes
notują,they note
notą,note
nowackiej,Nowacka
nowatorskie,innovative
nowatorską,innovative
"nowego,zamordyzm","new, murder"
noweli,novella
nowelizacja,amendment
nowi,new
nowicjuszką,a novice
nowoczesnego,modern
nowoczesny,modern
nowoczesnych,modern
nowoczesną,modern
nowocześnie,modern
nowojorskiego,New York
nowojorskiej,New York
nowonarodzonemu,newborn
noworodek,baby
nowosolan,nowosolan
nowosolski,Nowosolski
nowotarski,Nowotarski
nowotworami,cancers
nowotworem,cancer
nowotworowej,cancerous
nowotworu,cancer
nowotworów,Cancers
nowością,new
nowość,novelty
nowożeńców,newlyweds
no¿em,with a knife
no¿ownika,a knife-man
nośnej”,"carrier"""
nośnikami,carriers
nośników,media
nto,nto
nude,nude
nudności,nausea
nudził,he was bored
nuklearna,Nuclear
nuklearnej,nuclear
nuklearny,nuclear
numerach,numbers
numerki,numbers
numerologii,numerology
numeru,number
numerów,numbers
nurtem,in the stream
nurtuje,I'm wondering
nurtujące,bothering
nutria,nutria
nyski,Nysa
nz,nz
nóg,legs
nędzę,misery
o.o,o.o
o2,o2
obaleniu,overthrow
obarczeni,burdened
obchodził,he celebrated
obchodziła,she celebrated
obchodzone,celebrated
obchodzono,celebrated
obchodzony,celebrated
obciąża,it burdens
obciążeń,burdens
obcokrajowcom,to foreigners
obcokrajowcy,foreigners
obcy,stranger
obecnych,present
obecnymi,present
obejmowały,included
obejmującej,including
obejmujący,including
obejrzałem,I watched
obejrzenia,to see
obejrzenie,viewing
obejrzy,will watch
obejrzymy,we will watch
obejrzą,they will watch
obejście,bypass
oberwało,got hit
obezwładniony,overpowered
obfitowa³a,abounded
obfitujący,abounding
obfitych,abundant
obiad,Lunch
obiadu,dinner
obiecała,she promised
obiedzie,I will have dinner
obiegowe,circulation
obiegła,She went around
obiegły,circulated
obiekcie,the facility
obiekcje,objections
obiektowi,to the object
obierają,They are peeling
obierz,peel
obietnic,promises
obietnica,promise
objawy,symptoms
objazd,tour
objazdowej,touring
objazdów,detours
objąć,embrace
objęto,covered
objętości,volume
objętym,covered
objęła,took over
objęły,took over
objęłyby,would cover
oblanie,pouring
oblały,They failed
obleciał,he flew
oblicza,faces
obliczają,They calculate
obliczając,calculating
obliczana,calculated
obliczany,calculated
oblicze,face
obliczeniach,calculations
obliczeniową,computational
obliguje,I oblige
oblodzenia,icing
oblodzone,icy
oblężone,under siege
obmacywanie,palpation
obniża,It lowers
obniżona,Reduced
obniżonych,Reduced
obniży,will lower
obornika,manure
obowiązkiem,duty
obowiązkowa,mandatory
obowiązkowego,mandatory
obowiązkowych,mandatory
obowiązującymi,in force
obowiązywały,were in force
obozach,camps
obozowej,camp
obozowisk,camps
obozu,camp
obozów,camps
obradować,sit
obraduje,is debating
obrazkami,pictures
obrazki,pictures
obrazków,pictures
obrazowej,pictorial
obrazowo,graphically
obrazy,pictures
obrazów,images
obra¿aæ,to offend
obraźliwe,offensive
obraźliwym,offensive
obrażają,they are offending
obrona,defense
obronionym,defended
obronnego,defensive
obronnośćZawsze,defenseAlways
obronnym,defensive
obroną,defense
obronę,defense
obrotowego,rotary
obrotowy,rotary
obrotów,turnover
obrońcami,defenders
obrus,tablecloth
obrzeżona,edged
obróbkę,processing
obróci,will turn
obróciliśmy,we turned
obróciły,They turned
obrączkę,a wedding ring
obrębie,within
obsady,cast
obsadzie,cast
obsadził,he cast
obsadzony,planted
obsadę,cast
obserwacjom,observations
obserwację,observation
obserwatorzy,observers
obserwowali,They were watching
obserwowana,observed
obserwowane,observed
obserwowany,being watched
obserwować,observe
obserwujmy,let's observe
obserwując,observing
obserwujących,followers
obsesyjnego,obsessive
obstrukcję,obstruction
obszernie,extensively
obsługiwali,they served
obsługiwane,supported
obsługiwać,operate
obsługiwał,He was serving
obsługiwały,They served
obsługuje,supports
obsługą,service
obsłużył,he served
obumierania,dying out
oburzającego,outrageous
oburzeni,outraged
oburzenie,indignation
oburzeniem,indignation
obuwie,footwear
obwiniał,he blamed
obwodach,in the districts
obwodem,circumference
obwodnica,bypass
obwodowa,peripheral
obwodowe,peripheral
obwodowych,peripheral
obwody,Circuits
obwód,circuit
obydwaj,both of them
obywatelami,citizens
obywatele,citizens
obywatelki,citizens
obywatelom,to citizens
obywatelski,civil
obywatelskich,civic
obywatelskie,civic
obywatelskim,civic
obywatelskimi,civic
obóz,camp
obłapianie,grabbing
obława,raid
obłoży,will cover
obłąkanych,insane
ocalić,save
occie,vinegar
ocean,ocean
oceany,oceans
oceni,will evaluate
oceniaj±,rate
oceniając,assessing
oceniane,rated
oceniania,assessment
oceniany,assessed
oceniał,he assessed
oceniała,she was evaluating
oceniona,rated
oceniło,rated
ochotnicze,Volunteer
ochotniczych,volunteers
ochotnikom,volunteers
ochotę,I want
ochroniarz,bodyguard
ochroniarzem,a security guard
ochroniarzy,security guards
ochronić,protect
ochładzające,cooling
ochłodzenie,cool
ocieplane,insulated
ocieplać,to warm up
ocieplenia,warming
ocieplenie,warming
ocieplić,warm
octuspryskaj,octuspray
oczekiwana,expected
oczekiwaniami,expectations
oczekiwaniem,waiting
oczekiwaniom,expectations
oczekiwanych,expected
oczekiwał,he was expecting
oczekujmy,let's expect
oczekują,they are expecting
oczekujących,waiting
oczek”,"""eyes"""
oczka,eyes
oczko,mesh
oczyszczalni,sewage treatment plant
oczyszczania,purification
oczyszczaniu,cleansing
oczyszczone,cleaned
oczywistym,obvious
odbicie,reflection
odbiegającej,deviating
odbiegać,deviate
odbiegały,They deviated
odbiera,I am receiving
odbierali,they were receiving
odbieraliśmy,we were receiving
odbierani,received
odbieranie,receiving
odbierała,she was receiving
odbierze,will pick up
odbijanie,bouncing
odbiornik,receiver
odbitego,reflected
odblasków,Reflectors
odblokowane,Unlocked
odblokował,He unblocked
odbudowa,reconstruction
odbudowano,rebuilt
odbudowujące,rebuilding
odbudowy,Reconstruction
odbyli,They took place
odbywające,taking place
odbywać,to take place
odbywały,were taking place
odc,ep
odchodzi,he is leaving
odchodzić,depart
odchodzącego,leaving
odchowaniu,rearing
odchować,to raise
odchudzić,lose weight
odcienie,shades
odcinają,they cut off
odcinkami,in sections
odciskami,corns
odcisnąć,squeeze
odciążają,They relieve
odcięci,cut off
odcięciu,cut off
odcięli,they cut off
odciętą,abscissa
odczucie,feeling
odczuliby,they would feel
odczuwa,he feels
odczuwalna,noticeable
odczuwalne,felt
odczuwalną,noticeable
odczuwać,to feel
odczuwał,he felt
odczuć,feel
odczytach,readings
odczytał,he read
odczytu,reading
odczytuje,I read
odda,will give back
oddadzą,they will give back
oddają,they give back
oddając,giving back
oddalać,move away
oddalał,he was moving away
oddaleni,distant
oddalili,They dismissed
oddalić,dismiss
oddalonej,far away
oddane,given away
oddaniu,dedication
oddanych,cast
oddechowego,respiratory
oddechu,breath
oddychać,breathe
oddychał,he was breathing
oddziałami,branches
oddziaływania,impact
oddzielić,separate
oddłużenie,debt relief
ode,from
odebrali,they took away
odebraniu,receiving
odebrany,received
odebrała,she picked up
odejd±,go away
odej¶cie,leaving
odejścia,leaving
odejść,go away
oderwana,torn off
oderwała,she tore off
odeszła,she left
odesłanie,sending away
odetchnęli,They took a breather
odezwa,appeal
odgrywają,they play
odgrywali,They played
odgwizdując,Whistling
odholowany,Towed away
odizolować,isolate
odjąć,to subtract
odjęta,subtracted
odjęty,subtracted
odkleszczową,tick-borne
odkryciom,discoveries
odkryli,They discovered
odkryta,discovered
odkrywają,They discover
odkrywca,discoverer
odkrywcze,revealing
odkrył,he discovered
odkryła,she discovered
odkształca,deforms
odkurzamy,We are vacuuming
odkurzył,he vacuumed
odkładajcie,put it aside
odkładam,I am putting it off
odkładałeś,you were putting it off
odlaliśmy,we cast
odleciały,They flew away
odleglejsza,more distant
odległej,distant
odległość,distance
odległych,distant
odleżynami,bedsores
odliczają,They are counting down
odliczenia,deductions
odmawia,I refuse
odmawiającym,refusing
odmawiać,refuse
odmawiał,he refused
odmawiały,They refused
odmiana,variety
odmianie,variety
odmiany,varieties
odmianą,variety
odmienia,inflects
odmienionej,changed
odmienne,different
odmowy,refusal
odmówili,They refused
odmówić,to refuse
odmówił,he refused
odmówiły,They refused
odnalazł,he found
odnalazła,she found
odnaleziona,found
odnalezionych,found
odnawiana,being renewed
odniesienie,reference
odniesione,succeeded
odnieść,to relate
odniosły,They succeeded
odnosi,refers
odnosić,to relate
odnosz±cych,relating
odnoszą,they are referring
odnotowała,she noted
odnotowały,They noted
odnotowujemy,we note
odnotowują,They note
odnowienia,Renewal
odnowienie,renewal
odnowione,Renovated
odnowiony,renovated
odnowią,They will renew
odnowę,renewal
odpadają,they fall off
odpadami,waste
odpadowym,waste
odpadła,she fell off
odpad贸w,waste
odpalone,fired up
odparcia,repel
odparował,he evaporated
odpiąć,unfasten
odpoczniemy,we will rest
odpocznij,take a rest
odpoczywają,They are resting
odpoczywamy,we are resting
odpoczywał,he was resting
odpoczął,he rested
odpornościowym,immune
odpornością,resistance
odpowiadając,Answering
odpowiadamy,we answer
odpowiadanie,Answering
odpowiedni,right
odpowiednia,proper
odpowiednik,substitute
odpowiednika,equivalent
odpowiednikiem,equivalent
odpowiedzialnego,responsible
odpowiedzialnej,responsible
odpowiedzialnością,responsibility
odpowiedzialnym,responsible
odpowiedzia³,he replied
odpowiedzią,the answer
odpowiedzą,they will answer
odpowied¼,Answer
odprawiane,celebrated
odprawiał,he was celebrating
odprawili,They dismissed
odprawił,he dismissed
odprawiła,she dismissed
odprawy,check-in
odprowadza,takes away
odprowadzają,They are taking away
odprowadzające,draining
odprowadzającym,leading away
odprowadzaniu,draining
odprowadzić,take away
odprowadziły,They took me away
odprowadzonymi,taken away
odpustem,indulgence
odpustu,indulgence
odpuścimy,we'll give up
odpychały,They pushed away
odpytywania,polling
odpędzić,drive away
odradzającemu,the one who is reborn
odrobiną,little
odrobinę,a little bit
odroczenie,postponement
odroczeniu,postponement
odroczone,postponed
odroczony,postponed
odroczyć,postpone
odrosty,offshoots
odry,measles
odrywa,breaks off
odrzuca,rejects
odrzuceniem,rejection
odrzucić,to reject
odrzucona,rejected
odrzucony,rejected
odrzutowce,jets
odróżnia,distinguishes
odróżnieniu,in distinction
odrębnej,separate
odrębności,differences
odsetki,interest
odsiadywa³,he was serving time
odskakuje,jumps away
odstawić,put away
odstraszania,deterrence
odstraszać,deter
odstręczają,They are off-putting
odstąpienia,withdrawal
odstąpienie,renouncement
odstęp,space
odstępami,spaces
odstępie,distance
odsunięty,moved away
odsunęli,They pushed away
odsuwając,pushing away
odsuwany,pushed aside
odsyłającym,referring
odsyłani,sent away
odsy艂ali,they referred
odsy艂ano,was referred
odszedłeś,you left
odszkodowawczej,compensation
odszkodowań,compensation
odszukać,find
odszukał,he found
odszumianiu,denoising
odsłaniają,They reveal
odsłon,views
odsłonie”,"""unveil"""
odsłonić,reveal
odsłonięto,unveiled
odsłonięty,exposed
odsłoniła,She revealed
odtworzenie,recreate
odtworzył,He recreated
odtwórcą,impersonator
odwaga,courage
odwagą”,"courage"""
odwalił,he screwed up
odważna,brave
odważną,brave
odważyć,to weigh
odwdzięczy,he will repay
odwecie,in retaliation
odwet,retaliation
odwetowych,retaliatory
odwiedza,he visits
odwiedzają,They are visiting
odwiedzi,will visit
odwiedzili,They visited
odwiedzin,visits
odwiedzinami,visits
odwiedzonych,visited
odwiezieni,taken away
odwodniona,dehydrated
odwo³aniu,cancellation
odwołane,Cancelled
odwołać,cancel
odwołała,she canceled
odwołującym,appellant
odwoływał,he canceled
odwraca,turns around
odwrotny,opposite
odwróciły,They turned around
odwrócone,inverted
odwzorowanie,mapping
odwzorował,He reproduced
odyseja”,"""Odyssey"""
odzieżowym,clothing
odznaczać,to mark off
odznaczeniami,with distinctions
odznaczeń,awards
odzobaczyć,unsee
odzyska,will recover
odzyskali,They got it back
odzyskane,recovered
odzyskania,recovery
odzyskanie,retrieve
odzyskaniu,recovery
odzyskała,She got it back
odzyskiwania,recovery
odłamać,break off
odłożyć,put aside
odłupać,chip off
odłóż,put it down
odłączajcie,disconnect
odłączył,He disconnected
odświeżaniem,refreshing
odświeżonego,refreshed
odświeżony,refreshed
odświeżonym,refreshed
odświeżyć,refresh
odświętnych,festive
odżywianiu,Nutrition
ofensywny,offensive
ofensywną,offensive
ofensywy,offensive
oferowane,offered
oferowanych,offered
oferowanym,offered
ofertowe,offer
ofertowych,offer
ofertą,offer
oferują,They offer
oferująca,offering
oferujący,offering
offie,offie
offisie,office
offshore,offshore
ofiarach,victims
ofiarom,to the victims
oficerowi,to the officer
oficerowie,officers
oficjalnego,official
oficjalny,official
ofierze,the victim
oglądaj,watch
oglądają,They are watching
oglądające,watching
oglądali,They watched
oglądania,watching
oglądanie,watching
oglądnęli,They watched
ogniska,bonfires
ognisku,the fire
ogniskując,focusing
ogniwa,links
ogona,tail
ograbienia,robbed
ograniczają,they limit
ograniczając,limiting
ograniczająca,limiting
ograniczającym,limiting
ograniczeniach,restrictions
ograniczeniami,restrictions
ograniczeniem,limitation
ograniczone,limited
ograniczonych,limited
ograniczy膰,limit
ogrodach,gardens
ogrodami,gardens
ogrodnicy,gardeners
ogrodniczych,gardening
ogrodowy,garden
ogrodowych,garden
ogrodową,garden
ogrodu,garden
ogrody,gardens
ogrodzenia,Fences
ogrom,vastness
ogromnych,huge
ogromnymi,huge
ogrzewania,heating
ogródkach,in the gardens
og³oszony,announced
ogólne,general
ogólnej,general
ogólniaka,high school
ogólnie,generally
ogólnikowe,general
ogólnodostępny,publicly available
ogólnokrajowym,nationwide
ogólnokształcące,general education
ogólnopolskich,nationwide
ogólnopolskiego,nationwide
ogólnopolskiej,nationwide
ogólnych,general
ogólną,general
ogórki,cucumbers
ogórkowy,cucumber
ogół,in general
ogółu,in general
ogłaszającym,announcing
ogłaszana,announced
ogłosi,will announce
ogłosił,he announced
ogłosiły,They announced
ogłoszeni,announced
ogłoszenia,announcements
ogłoszeniami,announcements
ogłoszenie,announcement
ogłoszeniem,announcement
ogłoszeń,announcements
ogłoszone,announced
ogłoszą,They will announce
ohydnej,disgusting
ojcostwa,fatherhood
ojcu,father
ojczystych,native
ojczyznę,homeland
ojczyźnie,homeland
ojców,fathers
okalająca,surrounding
okaleczyć,mutilate
okay,okay
okazali,they showed
okazała,she was magnificent
okazałej,magnificent
okaziciela,bearer
okazu,a specimen
oka¿e,it will turn out
okiennej,window
okiełznał,He tamed
oklaskuję,I applaud
oknie,the window
oko,eye
okolic,the area
okoliczni,the surrounding
okoliczno¶ci,circumstances
okolicznościowe,occasional
okolicznościowy,occasional
okoliczny,surrounding
okolicę,the area
oko艂o,approx
okradzionym,robbed
okresach,periods
określa,it determines
określającą,defining
określana,determined
określano,was determined
określanym,defined
określenia,definitions
określeniem,a term
określić,define
określona,Determined
określonego,specific
okropny,terrible
okrutna,cruel
okrutną,cruel
okrywowe,ground cover
okrzyki,cheers
okrêty,ships
okrąg,circle
okrążeniu,lap
okrążył,He circled
okręgach,in the districts
okręgowej,district
okręgowy,district
okręgów,districts
okręt,ship
okrętom,to the ships
okrętu,the ship
okręty,ships
okrężnie,roundabout
oksytocyną,oxytocin
oktawie,octave
okulary,glasses
okulistycznej,ophthalmological
okup,ransom
okupacja,occupation
okupacji,occupation
okupacyjne,occupation
okupantom,to the occupiers
okupowane,occupied
okupowanego,occupied
okupowanych,occupied
okupu,ransom
olbrzymi,huge
olbrzymie,huge
olbrzymimi,huge
oldbojów,old boys
olej,oil
olejem,with oil
olejków,oils
olejowania,oiling
oligarchów,oligarchs
oligarchą,oligarch
oligofrenoterapeutą,oligophrenotherapist
olimpijska,Olympic
olimpijski,Olympic
olimpijskie,Olympic
olimpijskiej,Olympic
olimpijską,Olympic
oliwą,oil
olsztyńskiego,Olsztyn
omawiane,discussed
omawianiu,discussing
omawianymi,discussed
omen,omen
omijają,They bypass
omijając,bypassing
ominąć,to omit
ominęły,They missed
onkologicznej,oncological
onkologicznymi,oncological
opadaniu,falling
opadną,they will fall
opadu,fallout
opadł,fell
opakowania,packaging
opakowaniu,packaging
opalana,tanned
opancerzone,armored
opanować,master
opanował,He mastered
opanują,They will master
opartą,based
oparzeniami,burns
oparzeniowej,burn
oparzeń,burns
oparzył,he got burned
opaska,band
opaski,headbands
opaskę,a headband
opatrunki,dressings
opałach,in trouble
opcja,option
opcją,option
operacja,operation
operacje,operations
operacyjni,operational
operacyjnym,operational
operacyjnymi,operational
operatora,operator
operatorkę,operator
operetkach,operettas
operować,operate
opiekował,he took care of
opiekowałem,I was taking care of
opiekunka,nanny
opiekunowie,guardians
opiekuńczy,protective
opierać,to lean
opierał,he was leaning
opierała,she was leaning
opierały,They were leaning
opiewa,it celebrates
opiewającego,eulogizing
opiewającą,praising
opiniami,opinions
opiniując,giving an opinion
opiniê,opinion
opisane,described
opisaniu,describing
opisała,She described
opisem,description
opisowe,descriptive
opisującej,describing
opisywany,described
opisywał,he described
opla,opel
oplecione,braided
opodatkowane,taxed
opodatkowaniu,taxation
opolskich,Opole
opolskiej,Opole
opon,tires
oponach,tires
opornych,resistant
opowiadają,they tell
opowiadając,telling
opowiadania,stories
opowiadać,tell
opowiadała,she was telling
opowiadało,it told
opowiedzenia,to tell
opowiedzia艂y,they told
opowiedzieli,They told
opowiedzą,they will tell
opowieściami,stories
opozycja,opposition
opozycjonisty,oppositionist
opozycyjnego,opposition
opozycyjny,oppositional
opozycyjnych,opposition
opracowanych,developed
opracować,to develop
oprawca,torturer
oprawcy,torturers
opresji,oppression
oprocentowaniu,interest rate
opryskiwaczy,sprayers
oprzeæ,to lean
oprzeć,to resist
oprzyrządowania,instrumentation
oprzyrządowany,instrumented
oprzytomnieli,They came to their senses
oprószam,I sprinkle
oprószyć,sprinkle
optujemy,we opt
optycznie,optically
optymalizacjach,optimizations
optymalizacją,optimization
optymalizację,optimization
optymalizujące,optimizing
optymalną,optimal
opublikowana,published
opublikowane,published
opublikowaniu,published
opublikowało,published
opublikowały,They published
opublikuje,will publish
opustoszałe,deserted
opustoszałego,deserted
opuszczanie,Leaving
opuszczać,leave
opuszczone,abandoned
opuszczonych,abandoned
opuszek,fingertip
opu¶ci³,he left
opuściła,she left
opuściło,left
opóźniona,delayed
opóźnić,delay
opóźnił,He delayed
opłacalna,profitable
opłacalności,profitability
opłacania,paying
opłacało,it was worth it
opłaciła,she paid
opłatami,fees
opłatkiem,a wafer
opłatkowe,wafer
opłynęła,She sailed around
orazspowalnia,and slows down
orbicie,in orbit
orbitę,orbit
ordynariuszowi,to the ordinary
ordynat,ordinate
organista,organist
organizacjach,organizations
organizacjom,organizations
organizacyjne,organizational
organizacyjnym,organizational
organizatora,organizer
organizatorów,organizers
organizowali,They organized
organizowanej,organized
organizowanie,organization
organizowany,organized
organizowanych,organized
organizować,organize
organizowała,She organized
organizują,They organize
organizujący,organizing
organizujących,organizing
orientację,orientation
orientacyjnymi,indicative
orientalne,oriental
orkiestry,orchestras
orkiestrę,the orchestra
orszakach,in processions
orszaku,procession
ortograficzny,spelling
oryginalnej,original
oryginalność,originality
oryginałów,originals
orzec,rule
orzechowego,nutty
orzeczenia,judgments
orzeczeń,judgments
orzecznictwa,case law
orzekającym,adjudicating
orzekania,adjudication
orzekła,she ruled
orzeźwiają,They refresh
orła,the eagle
osaczany,cornered
osadził,he settled
osadzonych,inmates
osamotnieni,lonely
osi,Axis
osiadła,settled down
osiedlami,housing estates
osiedleniu,settlement
osiedli,estates
osiedlił,he settled
osierociła,orphaned
osieroconego,orphaned
osiągają,they achieve
osiągał,He achieved
osiągi,performance
osiągnięciami,achievements
osiągnięciem,an achievement
osiągnięciu,achievement
osiągnięte,achieved
osiągniętych,achieved
osiągnięć,achievements
osiągną,they will achieve
oskarżać,accuse
oskarżeni,accused
oskarżeń,accusations
oskarżonego,the accused
oskarżono,accused
oskarżony,accused
oskarżonym,accused
oskarżyli,They accused
oskarżyło,accused
oskarżyły,They accused
osobistości,celebrities
osobisty,personal
osobliwymi,peculiar
osobnikach,individuals
osobnikami,individuals
osobniku,individual
osobno,separately
osobnych,separate
osobowość,personality
osobowym,personal
ostateczna,final
ostatecznej,final
ostatecznym,final
ostało,it was left
osteoporozę,osteoporosis
ostrej,sharp
ostrowieckich,Ostrowiecki
ostrołęckiej,Ostrołęka
ostrości,focus
ostrożni,careful
ostrych,sharp
ostrym,sharp
ostrzałach,shelling
ostrzegając,warning
ostrzegające,warning
ostrzegania,warning
ostrzegawczego,warning
ostrzegałem,I warned
ostrzegały,They warned
ostrzeg³,he warned
ostrzelana,fired upon
ostrzeliwana,under fire
ostrze¿enia,warnings
ostrzeżeniami,warnings
ostrzeżeniu,warning
ostudzoną,cooled down
ostygnie,it will cool down
osuszania,drying
osuwisk,landslides
osuwiska,landslides
oswoić,to tame
oszacowali,They estimated
oszacowany,estimated
oszacowała,estimated
oszałamiającego,stunning
oszałamiającym,stunning
oszczędnym,economical
oszczędzać,to save
oszukania,deceive
oszukany,cheated
oszukać,to cheat
oszukiwał,he cheated
oszukuje,I'm cheating
oszustami,cheaters
oszustwami,frauds
osób.,people.
osądzić,to judge
osłabienie,weakness
osłabieniu,weakening
osłabiony,weakened
osłabionych,weakened
osłabioną,weakened
osłaniając,covering
osławione,the infamous
osłoną,cover
osłupienie,stupor
otaczają,They surround
otoczenie,surroundings
otoczką,sheath
otoczone,surrounded
otoczonych,surrounded
otoczyła,surrounded
otodom.pl,otodom.pl
otolaryngolog,otolaryngologist
ototorun.pl.,ototorun.pl.
otrzymaliśmy”,"we received"""
otrzymamy,we will receive
otrzymanej,received
otrzymaniu,receiving
otrzymanych,received
otrzymasz,you will receive
otrzyma³,received
otrzymałem,I received
otrzymująca,receiving
otrzymujących,receiving
otrzymywać,to receive
otrzymywała,she received
otrzymywałaby,would receive
otwarciu,opening
otwartej,open
otwartości,openness
otwierający,opening
otwierali,They opened
otwierane,opened
otwierania,opening
otwiera³,he opened
otworzeniem,opening
otwór,hole
out,out
outsourcingu,outsourcing
owal,oval
owce,sheep
owiane,shrouded
owinięty,wrapped
owoc,fruit
owocami,fruits
owocowe,fruity
owocuje,bears fruit
owrzodzeń,ulcers
owszem,yes
owym,that
ozdobą,ornament
oznaczają,they mean
oznaczała,meant
oznaczonych,marked
oznaczyć,mark
oznajmiający,declaring
oznajmili,They announced
oznakowane,marked
ołowiu,lead
ołówek,pencil
oślepiło,blinded
ośmioma,eight
ośmioosobowa,eight-person
ośrodka,the center
ośrodkach,centers
oświadczeniach,statements
oświadczyli,They declared
oświadczyn,proposal
oświadczyć,to declare
oświatowa,educational
oświatowe,educational
oświatowej,educational
oświetlające,illuminating
oświetlenia,lighting
oświetlone,lit up
oświęcimianie,people of oświęcim
p,p
pachnie,it smells
pachnące,fragrant
pacjencie,patient
pacjenckie,patient
pacjentem,a patient
pacjentki,patients
paczce,in the package
paczek,donut
paczki,donuts
paczką,package
pada,it's raining
padały,They were falling
padnie,will fall
pagerów,Pagers
pajacem,a clown
pakiety,packages
pakowanie,packing
pakt,pact
paktowi,pact
palasidowa,pallaside
palcach,fingers
palce,fingers
palestyńska,Palestinian
palestyńskiej,Palestinian
palet,pallets
paleta,palette
paliwa,fuel
paliwem,fuel
paliwo,fuel
paliły,They were burning
palmiarnia,palm house
palnej,inflammable
pamiêtasz,do you remember
pamiątki,souvenirs
pamiątkę,a souvenir
pamiętacie,do you remember
pamiętaj,Remember
pamiętają,they remember
pamiętamy,we remember
pamiętam”,"I remember"""
pamiętał,he remembered
pancernego,armored
pancernej,armored
pandemia,pandemic
pandemicznej,pandemic
panel,panel
panelami,panels
paneli,panels
panelu,panel
panicznym,Panicked
panią,Mrs.
panny,Miss
pannę,Miss
panoramy,panoramas
panowania,reign
panowała,she ruled
panowie,gentlemen
panteonie,pantheon
panuj±ce,prevailing
panującego,the reigning
papierosy,cigarettes
papierowej,paper
papiery,papers
papierów,papers
papierówek,paper pulp
papieski,papal
papie¿a,the pope
paproci,fern
papryka,pepper
paradoksalnym,paradoxical
parady,parades
parafialne,parish
parafian,parishioners
parafianami,parishioners
parafie,parishes
parafię,the parish
parafował,he initialed
paragonów,receipts
paragraf,paragraph
paraliżuje,It paralyzes
paralotniarza,paraglider
parametrami,parameters
parametrom,parameters
parametry,parameters
paramilitarną,paramilitary
parasolami,umbrellas
parawaningu,screen
parkiem,the park
parkiet,parquet
parkietach,parquet floors
parkingami,parking lots
parkingi,parking lots
parkingowe,parking
parkingowego,valet parking
parkowaniem,parking
parkować,park
parkowej,park
parkującym,parking
parlamentarne,parliamentary
parlamentarnej,parliamentary
parlamentaryzmu,parliamentarism
parlamentarzysta,parliamentarian
parlamentarzystami,parliamentarians
parlamentarzystka,parliamentarian
parlamentarzystki,Members of Parliament
parlamentu,parliament
parowce,steamboats
partiami,in batches
partią,party
partnerkę,a partner
partnerską,partner
partnerzy,partners
partyjka,a party
partyjnego,party
partyjny,party
partyjnych,party
partyzanci,partisans
paru,a few
paryskim,Parisian
parą,couple
pasach,lanes
pasami,stripes
